t[s],AI 0 (V),AI 2 (V),AI 4 (V),AI 1 (A),AI 3 (A),AI 5 (A)
-1.97396,-1545.51,415.811,1128.87,-4.88281,0,6.71387
-1.97392,-1561.79,376.567,1183.42,-6.71387,1.2207,4.88281
-1.97388,-1503.35,353.049,1149.74,-8.54492,0,-1.2207
-1.97384,-1536.33,354.163,1181.05,-7.93457,-1.83105,0.610352
-1.9738,-1523.53,333.706,1189.26,-8.54492,-1.2207,-0.610352
-1.97376,-1510.03,318.12,1188.85,-6.71387,-1.83105,3.05176
-1.97372,-1388.26,251.741,1137.5,-2.44141,1.83105,11.5967
-1.97368,-1500.98,268.162,1231.01,-4.88281,0.610352,7.93457
-1.97364,-1490.82,251.462,1237.55,-3.05176,-1.83105,9.15527
-1.9736,-1504.6,243.809,1258.01,-3.05176,3.66211,14.0381
-1.97356,-1487.9,218.342,1269.28,-7.32422,-0.610352,1.83105
-1.97352,-1467.86,188.145,1280.69,-9.15527,-1.2207,-2.44141
-1.97348,-1462.02,181.604,1277.63,-9.15527,0.610352,0
-1.97344,-1468.14,167.41,1297.67,-7.32422,-0.610352,9.15527
-1.9734,-1434.6,120.652,1314.23,-8.54492,1.2207,9.76563
-1.97336,-1391.46,102.004,1289.88,-6.10352,-1.2207,9.76563
-1.97332,-1424.17,99.917,1323.41,-3.05176,2.44141,10.9863
-1.97328,-1412.61,73.7549,1339,-4.88281,0.610352,10.9863
-1.97324,-1431.68,78.4863,1351.11,-5.49316,-3.05176,4.88281
-1.9732,-1474.12,114.946,1351.8,-7.93457,3.05176,4.27246
-1.97316,-1458.68,53.4375,1404.13,-12.207,0,4.27246
-1.97312,-1439.06,29.2236,1407.88,-7.32422,-1.83105,8.54492
-1.97308,-1363.21,-3.20068,1363.77,-7.93457,0.610352,6.10352
-1.97304,-1338.02,-37.4341,1376.02,-6.10352,0,12.207
-1.973,-1362.66,-49.2627,1411.64,-1.83105,0,12.8174
-1.97296,-1333.02,-80.4346,1418.32,-5.49316,-2.44141,11.5967
-1.97292,-1345.54,-74.1724,1418.18,-4.27246,4.27246,11.5967
-1.97288,-1346.37,-88.645,1433.35,-7.32422,-3.66211,14.6484
-1.97284,-1316.73,-110.354,1425.28,-7.93457,-1.2207,9.15527
-1.9728,-1302.26,-140.273,1441.28,-7.32422,-2.44141,6.10352
-1.97276,-1277.49,-164.07,1441.84,-7.93457,-4.27246,6.10352
-1.97272,-1330.23,-167.549,1491.1,-7.32422,1.2207,12.207
-1.97268,-1261.35,-211.245,1471.06,-7.32422,0,12.207
-1.97264,-1258.29,-225.022,1480.25,-5.49316,-1.2207,14.0381
-1.9726,-1219.6,-263.987,1484.42,-7.32422,0,12.8174
-1.97256,-1236.02,-274.146,1510.31,-9.15527,-2.44141,8.54492
-1.97252,-1198.17,-307.544,1504.32,-8.54492,0,6.71387
-1.97248,-1190.1,-325.774,1514.9,-9.15527,-3.66211,8.54492
-1.97244,-1130.95,-357.642,1483.31,-10.9863,-2.44141,9.76563
-1.9724,-1140.28,-403.564,1545.23,-5.49316,-4.27246,13.4277
-1.97236,-1135.55,-407.739,1541.34,-9.15527,-1.83105,12.8174
-1.97232,-1134.57,-431.675,1564.72,-6.71387,1.83105,17.0898
-1.97228,-1202.76,-383.943,1574.32,-4.88281,0.610352,14.6484
-1.97224,-1075.29,-509.326,1584.48,-9.15527,-1.83105,9.15527
-1.9722,-1089.07,-501.116,1585.73,-10.9863,-6.10352,11.5967
-1.97216,-1056.92,-532.566,1588.37,-11.5967,-5.49316,7.32422
-1.97212,-1036.6,-564.851,1602.29,-14.0381,-4.88281,6.10352
-1.97208,-1096.86,-533.679,1628.73,-8.54492,-1.2207,14.0381
-1.97204,-1013.78,-597.971,1609.39,-6.10352,-2.44141,14.6484
-1.972,-994.021,-622.603,1614.12,-7.93457,-3.66211,15.2588
-1.97196,-977.183,-646.121,1619.41,-3.05176,-0.610352,13.4277
-1.97192,-935.852,-681.885,1616.48,-9.76563,-5.49316,12.207
-1.97188,-956.726,-668.804,1620.66,-12.207,-3.05176,9.15527
-1.97184,-934.6,-697.471,1631.93,-14.6484,-1.2207,8.54492
-1.9718,-920.127,-704.985,1623.02,-10.376,-6.10352,7.93457
-1.97176,-930.981,-687.034,1606.46,-9.15527,-6.71387,15.2588
-1.97172,-880.049,-740.054,1617.32,-6.71387,-3.05176,14.0381
-1.97168,-881.023,-749.238,1629.57,-6.10352,-3.66211,16.4795
-1.97164,-868.638,-753.135,1618.71,-4.27246,-1.2207,17.7002
-1.9716,-854.304,-766.912,1619.27,-6.10352,-4.88281,15.2588
-1.97156,-887.146,-774.565,1663.94,-10.376,-2.44141,7.93457
-1.97152,-825.498,-792.1,1615.37,-12.207,-6.10352,8.54492
-1.97148,-803.372,-795.439,1595.05,-14.0381,-6.71387,6.10352
-1.97144,-790.847,-818.262,1607.58,-16.4795,-7.93457,3.66211
-1.9714,-741.724,-833.43,1575.15,-9.15527,-3.66211,14.0381
-1.97136,-772.617,-833.291,1605.21,-6.71387,-7.32422,12.8174
-1.97132,-766.772,-838.022,1602.29,-7.32422,-4.88281,18.3105
-1.97128,-746.316,-860.427,1605.91,-6.71387,-4.88281,19.5313
-1.97124,-798.918,-825.22,1618.85,-12.8174,-2.44141,7.93457
-1.9712,-717.092,-892.712,1605.77,-14.0381,-7.93457,7.32422
-1.97116,-693.296,-909.412,1600.9,-12.8174,-4.88281,12.207
-1.97112,-676.875,-910.942,1582.95,-11.5967,-7.93457,6.71387
-1.97108,-658.784,-967.441,1625.81,-12.8174,-4.88281,9.76563
-1.97104,-661.985,-946.707,1608.41,-5.49316,-4.88281,18.9209
-1.971,-619.819,-976.069,1592.83,-10.9863,-6.71387,12.8174
-1.97096,-601.311,-989.429,1590.32,-9.15527,-6.71387,14.6484
-1.97092,-619.68,-980.662,1595.47,-11.5967,-6.71387,15.2588
-1.97088,-567.356,-1015.59,1580.58,-12.207,-11.5967,12.8174
-1.97084,-540.22,-1044.95,1583.09,-12.207,-5.49316,9.15527
-1.9708,-518.65,-1061.24,1577.1,-12.207,-10.376,8.54492
-1.97076,-466.743,-1084.89,1547.88,-16.4795,-6.71387,11.5967
-1.97072,-440.024,-1132.35,1573.21,-6.10352,-4.27246,17.7002
-1.97068,-454.636,-1114.12,1567.64,-5.49316,-3.66211,18.9209
-1.97064,-438.772,-1124.97,1561.24,-8.54492,-7.32422,17.0898
-1.9706,-322.295,-1164.77,1482.06,-6.71387,-6.71387,15.8691
-1.97056,-298.638,-1178.13,1473.43,-10.376,-7.32422,12.8174
-1.97052,-357.781,-1187.59,1542.31,-14.6484,-9.76563,8.54492
-1.97048,-357.224,-1182.72,1537.72,-13.4277,-8.54492,8.54492
-1.97044,-308.796,-1216.54,1520.88,-9.76563,-4.27246,14.0381
-1.9704,-333.984,-1212.92,1546.9,-10.376,-7.93457,14.6484
-1.97036,-299.055,-1217.37,1514.62,-7.93457,-8.54492,17.0898
-1.97032,-279.434,-1236.99,1514.76,-6.71387,-7.93457,17.7002
-1.97028,-175.62,-1262.46,1437.39,-6.71387,-5.49316,17.7002
-1.97024,-214.863,-1294.05,1512.95,-9.15527,-7.93457,13.4277
-1.9702,-235.181,-1258.01,1491.52,-12.207,-10.376,8.54492
-1.97016,-204.565,-1269.84,1473.85,-15.8691,-8.54492,7.93457
-1.97012,-168.523,-1294.05,1457.84,-7.32422,-10.376,11.5967
-1.97008,-166.018,-1290.85,1451.86,-6.10352,-7.32422,17.0898
-1.97004,-247.148,-1263.3,1510.86,-6.71387,-6.10352,18.9209
-1.97,-138.047,-1307.27,1443.79,-6.71387,-7.93457,18.3105
-1.96996,-22.1265,-1357.09,1379.08,-7.32422,-3.05176,15.2588
-1.96992,-74.8682,-1333.29,1405.94,-8.54492,-7.32422,14.6484
-1.96988,-61.5088,-1351.11,1409.69,-8.54492,-8.54492,15.8691
-1.96984,-60.5347,-1342.34,1403.01,-12.8174,-10.376,7.93457
-1.9698,-98.2471,-1340.11,1446.01,-14.0381,-9.15527,8.54492
-1.96976,-7.93213,-1365.02,1370.59,-12.8174,-8.54492,7.93457
-1.96972,-5.28809,-1371.28,1374.35,-7.93457,-10.9863,10.376
-1.96968,47.7319,-1389.51,1340.67,-7.32422,-6.71387,12.8174
-1.96964,57.334,-1386.17,1326.34,-7.93457,-6.71387,15.2588
-1.9696,48.1494,-1395.36,1345.26,-3.66211,-7.93457,19.5313
-1.96956,75.9814,-1402.18,1323.83,-7.32422,-7.93457,10.376
-1.96952,107.432,-1420.69,1312.56,-11.5967,-10.9863,10.376
-1.96948,143.892,-1437.25,1292.66,-5.49316,-8.54492,9.76563
-1.96944,176.733,-1446.71,1262.74,-10.9863,-9.76563,10.9863
-1.9694,165.879,-1465.91,1299.48,-8.54492,-9.76563,13.4277
-1.96936,197.747,-1473.98,1275.26,-6.71387,-8.54492,14.6484
-1.96932,223.352,-1482.19,1257.73,-6.10352,-10.376,15.2588
-1.96928,211.941,-1501.82,1293.35,-6.71387,-7.93457,12.207
-1.96924,189.119,-1460.76,1267.05,-10.376,-12.207,7.32422
-1.9692,270.249,-1512.25,1236.99,-9.76563,-9.76563,9.76563
-1.96916,341.777,-1536.61,1194.83,-9.15527,-14.0381,12.207
-1.96912,354.441,-1532.29,1175.07,-11.5967,-12.8174,7.93457
-1.96908,313.945,-1501.68,1180.36,-6.71387,-10.376,13.4277
-1.96904,410.801,-1557.06,1144.87,-4.27246,-10.376,16.4795
-1.969,429.309,-1569.17,1139.44,-7.93457,-10.9863,10.9863
-1.96896,454.775,-1572.09,1116.06,-4.88281,-8.54492,17.7002
-1.96892,481.772,-1600.62,1117.04,-7.93457,-12.8174,10.376
-1.96888,518.093,-1605.63,1092.27,-9.76563,-11.5967,5.49316
-1.96884,521.851,-1593.8,1070.14,-7.32422,-13.4277,11.5967
-1.9688,557.615,-1598.81,1039.11,-8.54492,-12.8174,9.15527
-1.96876,561.79,-1620.66,1061.51,-9.76563,-10.376,16.4795
-1.96872,568.33,-1567.22,995.969,-5.49316,-7.32422,15.8691
-1.96868,627.195,-1606.74,978.853,-6.71387,-12.207,12.207
-1.96864,644.729,-1612.73,964.797,-4.88281,-10.9863,12.8174
-1.9686,584.473,-1598.53,1016.56,-4.88281,-10.376,10.376
-1.96856,726.973,-1608.69,878.379,-7.32422,-12.8174,6.71387
-1.96852,693.992,-1614.81,918.596,-7.93457,-14.0381,4.88281
-1.96848,694.27,-1608,910.803,-9.76563,-11.5967,7.93457
-1.96844,700.115,-1599.79,898.418,-7.32422,-10.376,6.71387
-1.9684,682.302,-1617.88,937.522,-5.49316,-10.9863,12.207
-1.96836,755.222,-1608.97,850.686,-0.610352,-11.5967,12.207
-1.96832,763.989,-1619.27,854.443,-1.83105,-8.54492,17.0898
-1.96828,772.756,-1605.91,828.838,-2.44141,-10.9863,18.3105
-1.96824,736.018,-1620.94,889.651,-10.9863,-14.0381,1.83105
-1.9682,792.239,-1608.41,813.809,-8.54492,-11.5967,6.10352
-1.96816,814.922,-1615.65,799.753,-9.15527,-14.0381,6.71387
-1.96812,822.576,-1609.67,785.002,-9.15527,-12.8174,4.27246
-1.96808,774.426,-1570.98,791.404,-5.49316,-14.0381,7.32422
-1.96804,872.256,-1621.35,746.873,-3.66211,-15.2588,9.76563
-1.968,859.871,-1613.7,753.413,-3.05176,-9.76563,13.4277
-1.96796,868.638,-1605.91,736.436,-4.27246,-12.8174,14.6484
-1.96792,854.583,-1563.46,702.48,-2.44141,-12.8174,9.76563
-1.96788,910.386,-1611.47,700.532,-8.54492,-14.6484,5.49316
-1.96784,924.302,-1614.54,688.982,-8.54492,-15.8691,3.05176
-1.9678,924.023,-1601.46,676.736,-5.49316,-12.8174,0.610352
-1.96776,943.228,-1587.82,639.998,-3.66211,-11.5967,9.15527
-1.96772,979.27,-1621.77,643.477,-6.71387,-10.9863,7.93457
-1.96768,964.937,-1588.23,620.515,-5.49316,-12.207,9.76563
-1.96764,983.306,-1588.65,603.816,-3.05176,-12.207,8.54492
-1.9676,1021.99,-1563.05,526.86,-0.610352,-9.76563,12.207
-1.96756,952.551,-1565.97,610.496,-7.93457,-13.4277,6.71387
-1.96752,1043.7,-1584.06,537.715,-7.32422,-14.6484,1.2207
-1.96748,1049.82,-1577.8,526.443,-7.32422,-17.7002,1.83105
-1.96744,1171.59,-1633.6,463.96,-2.44141,-12.8174,4.88281
-1.9674,1110.36,-1572.37,463.96,-3.05176,-12.207,4.27246
-1.96736,1101.31,-1567.36,464.377,-1.2207,-11.5967,7.93457
-1.96732,1117.73,-1555.25,435.71,-5.49316,-10.9863,7.93457
-1.96728,1132.35,-1551.36,416.506,-4.88281,-15.2588,7.93457
-1.96724,1097.97,-1515.18,414.976,-6.71387,-15.8691,2.44141
-1.9672,1151.69,-1527.56,372.671,-7.32422,-11.5967,-0.610352
-1.96716,1173.26,-1525.75,352.214,-5.49316,-14.0381,3.05176
-1.96712,1118.43,-1471.48,349.431,-1.2207,-9.15527,3.05176
-1.96708,1245.9,-1561.38,317.146,-0.610352,-14.6484,6.10352
-1.96704,1168.11,-1481.22,309.771,-1.2207,-14.6484,8.54492
-1.967,1221.83,-1494.86,270.945,-1.83105,-9.76563,8.54492
-1.96696,1229.9,-1489.01,257.725,-3.66211,-14.6484,3.05176
-1.96692,1265.66,-1492.77,225.161,-0.610352,-12.207,5.49316
-1.96688,1335.94,-1498.06,159.338,-4.27246,-13.4277,2.44141
-1.96684,1266.36,-1459.51,192.041,-6.10352,-14.0381,-4.27246
-1.9668,1301.15,-1465.5,158.643,-2.44141,-12.207,-3.05176
-1.96676,1296,-1447.27,151.267,0.610352,-10.9863,2.44141
-1.96672,1290.71,-1430.71,136.516,-1.2207,-10.9863,4.88281
-1.96668,1301.29,-1425.42,122.739,1.2207,-10.9863,7.32422
-1.96664,1304.49,-1417.76,111.189,3.05176,-12.207,4.27246
-1.9666,1335.66,-1418.18,79.8779,0.610352,-13.4277,7.32422
-1.96656,1363.91,-1413.03,47.0361,-2.44141,-12.8174,-0.610352
-1.96652,1361.4,-1413.03,49.2627,-2.44141,-14.6484,-4.27246
-1.96648,1389.51,-1386.73,-4.03564,-1.83105,-15.2588,-2.44141
-1.96644,1397.45,-1390.07,-7.93213,-4.27246,-13.4277,-3.66211
-1.9664,1392.02,-1382.56,-10.437,0.610352,-13.4277,3.66211
-1.96636,1358.62,-1334.27,-28.8062,4.88281,-14.0381,6.10352
-1.96632,1419.43,-1349.71,-71.25,6.10352,-8.54492,5.49316
-1.96628,1394.25,-1331.62,-65.9619,3.66211,-11.5967,4.27246
-1.96624,1442.12,-1382.83,-56.3599,-2.44141,-14.0381,-1.83105
-1.9662,1360.71,-1260.51,-109.937,-6.10352,-15.8691,-6.10352
-1.96616,1438.36,-1295.44,-144.031,-3.66211,-14.6484,-6.10352
-1.96612,1547.6,-1356.25,-189.119,-0.610352,-14.6484,-0.610352
-1.96608,1334.41,-1211.95,-129.697,3.05176,-13.4277,1.83105
-1.96604,1396.75,-1224.75,-176.177,3.05176,-10.9863,4.88281
-1.966,1481.22,-1241.17,-242.417,5.49316,-12.8174,4.27246
-1.96596,1486.79,-1220.71,-267.327,3.05176,-9.76563,6.10352
-1.96592,1539.67,-1209.02,-342.056,2.44141,-15.2588,-0.610352
-1.96588,1411.92,-1156.7,-255.637,1.2207,-15.8691,-5.49316
-1.96584,1514.62,-1180.91,-336.35,1.2207,-11.5967,-4.27246
-1.9658,1519.49,-1152.66,-368.218,-1.2207,-14.0381,-6.10352
-1.96576,1509.75,-1128.17,-385.891,3.05176,-13.4277,-4.88281
-1.96572,1430.43,-1065.41,-369.331,7.32422,-11.5967,1.83105
-1.96568,1550.8,-1104.38,-447.539,4.88281,-10.9863,0
-1.96564,1561.79,-1083.78,-480.242,3.66211,-12.207,1.2207
-1.9656,1545.65,-1074.32,-472.588,5.49316,-9.76563,-1.83105
-1.96556,1556.92,-1035.35,-521.711,9.76563,-7.93457,-5.49316
-1.96552,1576.27,-1023.24,-553.162,3.05176,-15.2588,-6.71387
-1.96548,1584.2,-1005.99,-578.628,3.66211,-14.6484,-5.49316
-1.96544,1526.03,-976.208,-551.074,4.88281,-12.207,-3.05176
-1.9654,1490.13,-896.191,-594.075,9.76563,-10.9863,3.66211
-1.96536,1600.76,-957.979,-643.198,7.32422,-14.0381,-3.05176
-1.96532,1606.19,-942.949,-665.046,7.32422,-11.5967,-1.83105
